,0
a_0,0.04145972548904726
a_1,0.04074116593147309
omega_0,1.1495006478018366e-06
omega_1,3.906074711375519e-06
c,3.91155481338501e-08
p_1,5.638867150992155e-11
p_2,0.14491866690177282
p_3,2.4155956365222765e-05
