,year,month,monthly_anomaly,monthly_anomaly_unc,dt
102,1973.0,6.5,-0.0055166666666666584,0.0935,1973.5416666666667
103,1973.0833333333333,6.5,-0.0016666666666666655,0.09461666666666667,1973.625
104,1973.1666666666667,6.5,-0.0030083333333333277,0.09454166666666668,1973.7083333333333
105,1973.25,6.5,0.0012166666666666658,0.093375,1973.7916666666667
106,1973.3333333333333,6.5,0.00064166666666667,0.09303333333333333,1973.875
107,1973.4166666666667,6.5,0.004941666666666667,0.09317500000000001,1973.9583333333333
108,1973.5,6.5,0.009708333333333338,0.09353333333333333,1974.0416666666667
109,1973.5833333333333,6.5,0.01606666666666667,0.09330000000000001,1974.125
110,1973.6666666666667,6.5,0.019866666666666668,0.09321666666666667,1974.2083333333333
111,1973.75,6.5,0.02295000000000001,0.09317500000000001,1974.2916666666667
112,1973.8333333333333,6.5,0.02229166666666667,0.09285,1974.375
113,1973.9166666666667,6.5,0.02060833333333334,0.09345000000000002,1974.4583333333333
114,1974.0,6.5,0.02049166666666667,0.09344166666666667,1974.5416666666667
115,1974.0833333333333,6.5,0.019700000000000006,0.09273333333333333,1974.625
116,1974.1666666666667,6.5,0.020033333333333337,0.09289166666666665,1974.7083333333333
117,1974.25,6.5,0.022225000000000005,0.09226666666666666,1974.7916666666667
118,1974.3333333333333,6.5,0.023299999999999998,0.09254166666666667,1974.875
119,1974.4166666666667,6.5,0.022600000000000006,0.09220833333333332,1974.9583333333333
120,1974.5,6.5,0.0261,0.09184166666666667,1975.0416666666667
121,1974.5833333333333,6.5,0.027508333333333343,0.09184166666666665,1975.125
122,1974.6666666666667,6.5,0.027041666666666672,0.09176666666666668,1975.2083333333333
123,1974.75,6.5,0.027700000000000006,0.091775,1975.2916666666667
124,1974.8333333333333,6.5,0.030558333333333333,0.09269166666666667,1975.375
125,1974.9166666666667,6.5,0.03545833333333334,0.09253333333333333,1975.4583333333333
126,1975.0,6.5,0.036283333333333334,0.09273333333333333,1975.5416666666667
127,1975.0833333333333,6.5,0.03925833333333333,0.09324166666666667,1975.625
128,1975.1666666666667,6.5,0.04378333333333333,0.09408333333333332,1975.7083333333333
129,1975.25,6.5,0.04435,0.09416666666666666,1975.7916666666667
130,1975.3333333333333,6.5,0.0459,0.09413333333333333,1975.875
131,1975.4166666666667,6.5,0.05164999999999999,0.0942,1975.9583333333333
132,1975.5,6.5,0.05633333333333333,0.09420833333333332,1976.0416666666667
133,1975.5833333333333,6.5,0.0637,0.09418333333333333,1976.125
134,1975.6666666666667,6.5,0.07370833333333332,0.09384166666666667,1976.2083333333333
135,1975.75,6.5,0.08373333333333331,0.09416666666666668,1976.2916666666667
136,1975.8333333333333,6.5,0.08880833333333334,0.094,1976.375
137,1975.9166666666667,6.5,0.09159166666666667,0.09386666666666667,1976.4583333333333
138,1976.0,6.5,0.09727499999999999,0.09386666666666667,1976.5416666666667
139,1976.0833333333333,6.5,0.10224999999999998,0.09385,1976.625
140,1976.1666666666667,6.5,0.10791666666666666,0.09359166666666666,1976.7083333333333
141,1976.25,6.5,0.10878333333333332,0.09358333333333334,1976.7916666666667
142,1976.3333333333333,6.5,0.10894999999999998,0.09365833333333333,1976.875
143,1976.4166666666667,6.5,0.10894166666666666,0.09388333333333333,1976.9583333333333
144,1976.5,6.5,0.11489999999999999,0.09429166666666666,1977.0416666666667
145,1976.5833333333333,6.5,0.12095833333333333,0.094125,1977.125
146,1976.6666666666667,6.5,0.12739166666666665,0.094175,1977.2083333333333
147,1976.75,6.5,0.12478333333333333,0.09391666666666666,1977.2916666666667
148,1976.8333333333333,6.5,0.12610833333333332,0.093825,1977.375
149,1976.9166666666667,6.5,0.12786666666666666,0.09360833333333334,1977.4583333333333
150,1977.0,6.5,0.126375,0.09390833333333334,1977.5416666666667
151,1977.0833333333333,6.5,0.12919166666666668,0.09393333333333333,1977.625
152,1977.1666666666667,6.5,0.12618333333333334,0.09371666666666666,1977.7083333333333
153,1977.25,6.5,0.1275083333333333,0.09286666666666667,1977.7916666666667
154,1977.3333333333333,6.5,0.12701666666666667,0.09230000000000001,1977.875
155,1977.4166666666667,6.5,0.12898333333333334,0.09262499999999999,1977.9583333333333
156,1977.5,6.5,0.13409166666666666,0.09270833333333332,1978.0416666666667
157,1977.5833333333333,6.5,0.13774166666666662,0.09270833333333334,1978.125
158,1977.6666666666667,6.5,0.13776666666666668,0.09273333333333333,1978.2083333333333
159,1977.75,6.5,0.13642500000000002,0.09251666666666665,1978.2916666666667
160,1977.8333333333333,6.5,0.13440833333333332,0.09215833333333333,1978.375
161,1977.9166666666667,6.5,0.134175,0.09220833333333332,1978.4583333333333
162,1978.0,6.5,0.13145,0.092875,1978.5416666666667
163,1978.0833333333333,6.5,0.13118333333333335,0.0929,1978.625
164,1978.1666666666667,6.5,0.13474166666666668,0.09259166666666667,1978.7083333333333
165,1978.25,6.5,0.13960000000000003,0.09294166666666666,1978.7916666666667
166,1978.3333333333333,6.5,0.13884166666666667,0.093025,1978.875
167,1978.4166666666667,6.5,0.14347500000000002,0.09264999999999998,1978.9583333333333
168,1978.5,6.5,0.14379166666666668,0.09274999999999999,1979.0416666666667
169,1978.5833333333333,6.5,0.14949166666666666,0.092475,1979.125
170,1978.6666666666667,6.5,0.15405000000000005,0.09211666666666665,1979.2083333333333
171,1978.75,6.5,0.15825833333333333,0.09143333333333332,1979.2916666666667
172,1978.8333333333333,6.5,0.15895,0.09166666666666666,1979.375
173,1978.9166666666667,6.5,0.165825,0.0915,1979.4583333333333
174,1979.0,6.5,0.16569166666666668,0.09136666666666667,1979.5416666666667
175,1979.0833333333333,6.5,0.16680833333333336,0.09133333333333332,1979.625
176,1979.1666666666667,6.5,0.16615,0.09109166666666667,1979.7083333333333
177,1979.25,6.5,0.1686166666666667,0.09064166666666666,1979.7916666666667
178,1979.3333333333333,6.5,0.17100833333333335,0.09039166666666668,1979.875
179,1979.4166666666667,6.5,0.17080833333333334,0.08998333333333332,1979.9583333333333
180,1979.5,6.5,0.16796666666666665,0.089725,1980.0416666666667
