,year,month,decimal,average,average_unc,trend,trend_unc
19,1985.0833333333333,6.5,1985.5833333333333,346.0466666666667,0.10258333333333335,346.0455,0.06608333333333334
20,1985.1666666666667,6.5,1985.6666666666667,346.1664166666667,0.10200000000000002,346.167,0.06608333333333334
21,1985.25,6.5,1985.75,346.28925,0.10175000000000001,346.2909166666667,0.06608333333333334
22,1985.3333333333333,6.5,1985.8333333333333,346.41725,0.10183333333333336,346.41949999999997,0.06608333333333334
23,1985.4166666666667,6.5,1985.9166666666667,346.54658333333333,0.10225000000000002,346.54816666666665,0.06600000000000002
24,1985.5,6.5,1986.0,346.6761666666667,0.10216666666666668,346.67608333333334,0.06591666666666668
25,1985.5833333333333,6.5,1986.0833333333333,346.806,0.10200000000000002,346.8045,0.06583333333333335
26,1985.6666666666667,6.5,1986.1666666666667,346.9346666666667,0.10175000000000001,346.93275,0.06566666666666668
27,1985.75,6.5,1986.25,347.06216666666666,0.1015,347.0596666666667,0.06550000000000002
28,1985.8333333333333,6.5,1986.3333333333333,347.19141666666667,0.1016666666666667,347.1876666666667,0.06533333333333334
29,1985.9166666666667,6.5,1986.4166666666667,347.3220833333333,0.10191666666666667,347.3176666666667,0.06516666666666668
30,1986.0,6.5,1986.5,347.45158333333336,0.10175000000000002,347.4485,0.06500000000000002
31,1986.0833333333333,6.5,1986.5833333333333,347.57908333333336,0.10158333333333334,347.5783333333333,0.06483333333333334
32,1986.1666666666667,6.5,1986.6666666666667,347.7038333333333,0.1014166666666667,347.7049166666667,0.06466666666666668
33,1986.25,6.5,1986.75,347.82849999999996,0.10125000000000002,347.83066666666673,0.06450000000000002
34,1986.3333333333333,6.5,1986.8333333333333,347.9529166666667,0.10133333333333336,347.9555833333333,0.06433333333333335
35,1986.4166666666667,6.5,1986.9166666666667,348.07775000000004,0.10133333333333336,348.07958333333335,0.06425000000000002
36,1986.5,6.5,1987.0,348.20441666666665,0.10150000000000002,348.20433333333335,0.06416666666666668
37,1986.5833333333333,6.5,1987.0833333333333,348.3308333333333,0.10150000000000002,348.32916666666665,0.06416666666666668
38,1986.6666666666667,6.5,1987.1666666666667,348.45533333333333,0.10158333333333336,348.45308333333327,0.06425000000000002
39,1986.75,6.5,1987.25,348.5805833333333,0.10175000000000002,348.5776666666667,0.06441666666666669
40,1986.8333333333333,6.5,1987.3333333333333,348.70750000000004,0.10191666666666668,348.70308333333327,0.06458333333333335
41,1986.9166666666667,6.5,1987.4166666666667,348.83633333333336,0.10225000000000002,348.8311666666666,0.06483333333333335
42,1987.0,6.5,1987.5,348.96450000000004,0.10266666666666668,348.96074999999996,0.06516666666666668
43,1987.0833333333333,6.5,1987.5833333333333,349.0930833333333,0.10300000000000002,349.0918333333333,0.06550000000000003
44,1987.1666666666667,6.5,1987.6666666666667,349.22274999999996,0.10308333333333336,349.22375,0.06583333333333335
45,1987.25,6.5,1987.75,349.35125,0.10366666666666667,349.35375,0.06616666666666669
46,1987.3333333333333,6.5,1987.8333333333333,349.4778333333333,0.10408333333333335,349.48075,0.06650000000000002
47,1987.4166666666667,6.5,1987.9166666666667,349.60316666666665,0.10433333333333336,349.6051666666666,0.06683333333333336
48,1987.5,6.5,1988.0,349.7279166666667,0.1046666666666667,349.72791666666666,0.06716666666666668
49,1987.5833333333333,6.5,1988.0833333333333,349.85158333333334,0.10508333333333336,349.8500833333334,0.06750000000000003
50,1987.6666666666667,6.5,1988.1666666666667,349.975,0.10533333333333336,349.9724166666667,0.06783333333333336
51,1987.75,6.5,1988.25,350.09933333333333,0.10558333333333336,350.09583333333336,0.0681666666666667
52,1987.8333333333333,6.5,1988.3333333333333,350.2236666666667,0.10600000000000004,350.2185,0.06850000000000002
53,1987.9166666666667,6.5,1988.4166666666667,350.3448333333333,0.10641666666666669,350.33875,0.06875000000000003
54,1988.0,6.5,1988.5,350.4601666666667,0.1066666666666667,350.45516666666674,0.06900000000000002
55,1988.0833333333333,6.5,1988.5833333333333,350.5733333333334,0.10675000000000003,350.57050000000004,0.06925000000000002
56,1988.1666666666667,6.5,1988.6666666666667,350.68850000000003,0.10675000000000003,350.6876666666667,0.06950000000000003
57,1988.25,6.5,1988.75,350.80466666666666,0.10683333333333336,350.80525,0.0696666666666667
58,1988.3333333333333,6.5,1988.8333333333333,350.9209166666667,0.1066666666666667,350.92216666666667,0.06983333333333336
