,a_0,a_1,omega_0,omega_1,c,p_1,p_2,p_3
a_0,0.0013840569090230721,-0.00017755661846559573,7.246231679393928e-09,3.294532215026451e-08,188.8142099454557,-0.28353115912457283,0.00014191203382772077,-2.3674964100459464e-08
a_1,-0.0001775565696266657,0.0013551702927076554,-3.1135691250070453e-09,5.638880971627326e-09,43.33734625510142,-0.06406835313114886,3.1559006102938434e-05,-5.1796190758476e-09
omega_0,7.246232616612115e-09,-3.1135707756258786e-09,1.0615365833145398e-12,-4.820725860503311e-14,0.007213138389684373,-1.0812079029306629e-05,5.401971945304365e-09,-8.996082616474852e-13
omega_1,3.294532452194546e-08,5.638881894266993e-09,-4.820716074339942e-14,1.2698153610344959e-11,-0.0014624485839530841,2.2450470405220506e-06,-1.148190627566042e-09,1.9563778608892247e-13
c,188.81417450828852,43.33509816509304,0.007213094051206992,-0.001462557084652212,8659685725.07639,-13004466.967148822,6509.522649244686,-1.086105204228857
p_1,-0.28353110188679115,-0.06406497619506314,-1.0812012291497289e-05,2.245209947600905e-06,-13004466.782733668,19529.2171164571,-9.775596797188362,0.0016310523248205195
p_2,0.00014191200316309056,3.155731527984715e-05,5.401938462066053e-09,-1.148272156823542e-09,6509.522464579106,-9.775596658497093,0.004893319600650042,-8.164508719540005e-07
p_3,-2.367495864799133e-08,-5.179336887101623e-09,-8.996026621732421e-13,1.9565138653416437e-13,-1.0861051580020118,0.0016310522785300166,-8.164508603660003e-07,1.3622549323637405e-10
